County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1972,1971,12,22,0.46,,,,,,,
421,1972,1971,12,23,1.27,,,,,,,
421,1972,1971,12,24,0.50,,,,,,,
421,1972,1971,12,27,3.60,,,,,,,
421,1972,1971,12,28,0.35,,,,,,,
421,1972,1972,1,27,0.15,,,,,,,
421,1972,1972,1,28,0.13,,,,,,,
421,1972,1972,2,5,0.33,,,,,,,
421,1972,1972,2,6,0.30,,,,,,,
421,1972,1972,2,22,0.06,,,,,,,
421,1972,1972,4,10,0.05,,,,,,,
421,1972,1972,4,11,0.23,,,,,,,
421,1972,1972,4,13,0.10,,,,,,,
421,1972,1972,5,19,0.06,,,,,,,
421,1972,1972,6,9,0.03,,,,,,,
421,1972,1972,7,30,0.07,,,,,,,
421,1973,1972,10,8,0.08,,,,,,,
421,1973,1972,10,10,0.03,,,,,,,
421,1973,1972,10,11,0.01,,,,,,,
421,1973,1972,10,13,0.02,,,,,,,
421,1973,1972,10,14,0.02,,,,,,,
421,1973,1972,10,15,0.52,,,,,,,
421,1973,1972,10,19,0.03,,,,,,,
421,1973,1972,10,20,0.01,,,,,,,
421,1973,1972,11,4,0.20,,,,,,,
421,1973,1972,11,5,0.35,,,,,,,
421,1973,1972,11,7,0.11,,,,,,,
421,1973,1972,11,8,0.26,,,,,,,
421,1973,1972,11,11,1.27,,,,,,,
421,1973,1972,11,12,0.65,,,,,,,
421,1973,1972,11,13,1.15,,,,,,,
421,1973,1972,11,14,0.08,,,,,,,
421,1973,1972,11,15,0.77,,,,,,,
421,1973,1972,11,16,0.90,,,,,,,
421,1973,1972,12,5,1.26,,,,,,,
421,1973,1972,12,6,0.40,,,,,,,
421,1973,1972,12,7,0.10,,,,,,,
421,1973,1973,1,8,0.01,,,,,,,
421,1973,1973,1,9,0.70,,,,,,,
421,1973,1973,1,10,0.52,,,,,,,
421,1973,1973,1,16,0.06,,,,,,,
421,1973,1973,1,17,1.34,,,,,,,
421,1973,1973,1,18,0.16,,,,,,,
421,1973,1973,1,19,2.50,,,,,,,
421,1973,1973,1,21,0.03,,,,,,,
421,1973,1973,1,25,0.02,,,,,,,
421,1973,1973,1,30,0.07,,,,,,,
421,1973,1973,2,5,1.34,,,,,,,
421,1973,1973,2,6,0.18,,,,,,,
421,1973,1973,2,7,1.34,,,,,,,
421,1973,1973,2,8,0.02,,,,,,,
421,1973,1973,2,10,0.37,,,,,,,
421,1973,1973,2,11,2.80,,,,,,,
421,1973,1973,2,12,0.23,,,,,,,
421,1973,1973,2,13,0.64,,,,,,,
421,1973,1973,2,14,0.06,,,,,,,
421,1973,1973,2,15,0.27,,,,,,,
421,1973,1973,2,24,0.30,,,,,,,
421,1973,1973,2,27,0.12,,,,,,,
421,1973,1973,2,28,1.94,,,,,,,
421,1973,1973,3,1,0.40,,,,,,,
421,1973,1973,3,6,0.02,,,,,,,
421,1973,1973,3,7,0.60,,,,,,,
421,1973,1973,3,8,0.38,,,,,,,
421,1973,1973,3,9,0.07,,,,,,,
421,1973,1973,3,11,0.40,,,,,,,
421,1973,1973,3,12,0.02,,,,,,,
421,1973,1973,3,20,1.50,,,,,,,
421,1973,1973,3,21,0.15,,,,,,,
421,1973,1973,3,22,0.68,,,,,,,
421,1973,1973,8,4,0.02,,,,,,,
421,1974,1973,9,4,0.22,,,,,,,
421,1974,1973,10,8,0.40,,,,,,,
421,1974,1973,10,23,0.34,,,,,,,
421,1974,1973,11,12,0.86,,,,,,,
421,1974,1973,11,13,0.01,,,,,,,
421,1974,1973,11,17,0.38,,,,,,,
421,1974,1973,11,18,2.09,,,,,,,
421,1974,1973,11,23,0.57,,,,,,,
421,1974,1973,12,1,2.06,,,,,,,
421,1974,1973,12,2,0.02,,,,,,,
421,1974,1973,12,14,0.22,,,,,,,
421,1974,1973,12,22,0.32,,,,,,,
421,1974,1973,12,27,0.15,,,,,,,
421,1974,1973,12,28,0.25,,,,,,,
421,1974,1974,1,2,0.31,,,,,,,
421,1974,1974,1,4,1.35,,,,,,,
421,1974,1974,1,5,0.48,,,,,,,
421,1974,1974,1,6,0.08,,,,,,,
421,1974,1974,1,7,2.00,,,,,,,
421,1974,1974,1,8,1.48,,,,,,,
421,1974,1974,1,12,0.24,,,,,,,
421,1974,1974,1,13,0.06,,,,,,,
421,1974,1974,1,17,0.98,,,,,,,
421,1974,1974,1,18,0.02,,,,,,,
421,1974,1974,1,20,0.03,,,,,,,
421,1974,1974,1,21,0.16,,,,,,,
421,1974,1974,2,13,0.02,,,,,,,
421,1974,1974,2,28,0.09,,,,,,,
421,1974,1974,3,1,0.10,,,,,,,
